Id,String
0,
500,EmptyString
910001,胡萝卜
910002,玉米
910003,鸡蛋
910004,鱼
910005,大蒜
910006,大葱
910007,香草
910008,蘑菇
910009,土豆
910010,Cabbage
910011,海藻
910012,番茄
910013,萝卜
910014,核桃
910015,稻
910016,苹果
910017,蜂蜜
910018,柠檬
910019,牛奶
910020,橙子
910021,啤酒
910022,面包
910023,奶酪
910024,煎蛋
910025,葡萄酒
910026,包
910027,药水
910028,斗篷
910029,绳子
910030,钓鱼竿
910031,指南针
910032,骰子
910033,巨锤
910034,镜子
910035,盾牌
910036,书_1
910037,书_2
910038,书_3
910039,专业书_1
910040,专业书_2
910041,扇贝
910042,水晶
910043,护身符
910044,金钥匙
910045,银锭
910046,金戒指
910047,古代头盔
910048,古代匕首
910049,金锭
910050,钻石
911001,"兔子最喜欢的零食，富含维生素A！"
911002,还未变成爆米花的普通状态
911003,"煮熟了就是煎蛋，没煮熟则可作为紧急投掷武器"
911004,猫咪梦想中的晚餐菜单
911005,强烈的气味可能能驱散敌人？
911006,"切碎后加入，会为料理增添魔幻般的点睛之笔"
911007,仅凭香气就能让人心情愉悦的神秘叶子
911008,直接食用可能会有危险，务必谨慎辨识
911009,薯条是神的食物
911010,减肥餐单的常客
911011,带有海洋气息的一捆绿叶
911012,"是水果还是蔬菜？都不是，而是‘美味的原料’。"
911013,冒险后正适合来碗清爽的汤！
911014,"打开“核桃”，便会迸发智慧与能量。"
911015,负责“饭桌”的头号功臣
911016,一天一个，医生远离我
911017,在口中蔓延的自然甜味
911018,"酸酸的又清新！来一个恢复疲劳如何？"
911019,"强健骨骼的秘密，以及饼干永恒的搭档"
911020,仿若太阳般的金色果实
911021,"与朋友聚会的必备品，但切记不要过量饮酒！"
911022,能让冒险者胃里饱满的伴侣
911023,随着熟成而愈发浓郁的神秘风味
911024,"早餐代表作，烹饪程度随个人喜好！"
911025,优雅氛围的完美呈现
911026,"所有冒险者的必备品，满载着各种物品"
911027,喝了后体力和法力直线上升！
911028,虽然不能飞，但绝对帅气
911029,用途无限的坚固绳索
911030,等待的美学
911031,指引方向的好朋友
911032,骰子已掷出
911033,一击致命的强大武器
911034,"镜子，镜子，谁是最伟大的商人？"
911035,这面盾牌可以挡住任何长矛！
911036,给初学者的轻松读物
911037,为冒险者准备的实用提示集
911038,"这本厚重的书是不是可以当作枕头用，读着读着就睡着了？"
911039,据说只有巫师才会阅读的稀有书籍
911040,充满高深技术的晦涩书籍
911041,"海洋的宝藏，闪亮的贝壳据说十分美丽"
911042,蕴含神秘能量的闪光石
911043,据说带来好运的项链
911044,"用途不明的钥匙，由黄金制成，因而具有价值"
911045,银色光泽如月光般美丽
911046,小心！可能有诅咒
911047,古代战士所戴的头盔
911048,据说由古代祭司使用的祭祀工具
911049,黄金永不背叛
911050,"蕴含光芒的宝石，象征着巨大的财富"
950001,"得益于及时的雨水，<color=#FFFF00>{0}</color>的产量增加了。价格下降。"
950002,"新农法已被开发，<color=#FFFF00>{0}</color>的产量增加了。价格下降。"
950003,"乞丐们席卷了<color=#FFFF00>{0}</color>。价格上涨。"
950004,"由于自然灾害的影响，<color=#FFFF00>{0}</color>歉收。价格上涨。"
950005,"在农民中，种植<color=#FFFF00>{0}</color>很受欢迎。价格下降。"
950006,"由于与其他国家的贸易，<color=#FFFF00>{0}</color>的供应量增加。价格下降。"
950007,"由于自然灾害的影响，<color=#FFFF00>{0}</color>歉收。价格上涨。"
950008,"<color=#FFFF00>{0}</color>在民众中流行。价格上涨。"
950009,"由于节日影响，销售<color=#FFFF00>{0}</color>的商人增多。价格下降。"
950010,"由于原料供应充足，大量的<color=#FFFF00>{0}</color>被生产出来。价格下降。"
950011,"在贵族中，<color=#FFFF00>{0}</color>很受欢迎。价格上涨。"
950012,"传闻<color=#FFFF00>{0}</color>是健康食品。价格上涨。"
950013,"制作方法泄露了，制作<color=#FFFF00>{0}</color>的匠人增加了。价格下降。"
