Id,String,String,String,String
0,,,,
500,EmptyString,EmptyString,EmptyString,EmptyString
910001, Carrot, 당근, にんじん, 胡萝卜
910002, Corn, 옥수수, トウモロコシ, 玉米
910003, Egg, 계란, たまご, 鸡蛋
910004, Fish, 생선, さかな, 鱼
910005, Garlic, 마늘, にんにく, 大蒜
910006, Green Onion, 대파, ねぎ, 大葱
910007, Herbs, 허브, ハーブ, 香草
910008, Mushroom, 버섯, きのこ, 蘑菇
910009, Potato, 감자, じゃがいも, 土豆
910010, Cabbage, 양배추, キャベツ, 卷心菜
910011, Seaweed, 해초, 海藻, 海藻
910012, Tomato, 토마토, トマト, 番茄
910013, Radish, 무, 大根, 萝卜
910014, Walnut, 호두, くるみ, 核桃
910015, Wheat, 벼, いね, 稻
910016, Apple, 사과, りんご, 苹果
910017, Honey, 벌꿀, はちみつ, 蜂蜜
910018, Lemon, 레몬, レモン, 柠檬
910019, Milk, 우유, ミルク, 牛奶
910020, Orange, 오렌지, オレンジ, 橙子
910021, Beer, 맥주, ビール, 啤酒
910022, Bread, 빵, パン, 面包
910023, Cheese, 치즈, チーズ, 奶酪
910024, Fried Egg, 계란 후라이, 目玉焼き, 煎蛋
910025, Wine, 와인, ワイン, 葡萄酒
910026, Backpack, 가방, リュック, 背包
910027, Potion, 포션, ポーション, 药水
910028, Cape, 망토, マント, 披风
910029, Rope, 밧줄, ロープ, 绳子
910030, Fishing Rod, 낚싯대, 釣り竿, 钓鱼竿
910031, Compass, 나침반, コンパス, 指南针
910032, Dice, 주사위, サイコロ, 骰子
910033, Great Hammer, 거대 망치, 大ハンマー, 巨型锤子
910034, Mirror, 거울, 鏡, 镜子
910035, Shield, 방패, 盾, 盾牌
910036, Book 1, 책_1, 本_1, 书_1
910037, Book 2, 책_2, 本_2, 书_2
910038, Book 3, 책_3, 本_3, 书_3
910039, Technical Book 1, 전문 서적_1, 専門書_1, 专业书_1
910040, Technical Book 2, 전문 서적_2, 専門書_2, 专业书_2
910041, Clam, 가리비, ハマグリ, 蛤蜊
910042, Crystal, 크리스탈, クリスタル, 水晶
910043, Amulet, 아뮬렛, アミュレット, 护身符
910044, Golden Key, 금 열쇠, 金の鍵, 金钥匙
910045, Silver Ingot, 은 주괴, 銀インゴット, 银锭
910046, Golden Ring, 금 반지, 金の指輪, 金戒指
910047, Ancient Helmet, 고대 투구, 古代の兜, 古代头盔
910048, Ancient Dagger, 고대 단검, 古代の短剣, 古代匕首
